_pd_block_id	_refln_index_h	_refln_index_k	_refln_index_l	_pd_refln_phase_id	_refln_d_spacing	_diffrn_radiation_wavelength
pattern_5	4	-1	5	1	1.046990	0.8257653
pattern_5	4	-1	8	1	0.935362	0.8257653
pattern_5	4	-1	11	1	0.821936	0.8257653
pattern_5	4	0	-8	1	0.870595	0.8257653
pattern_5	4	0	-2	1	1.018291	0.8257653
pattern_5	4	0	4	1	0.982760	0.8257653
pattern_5	4	0	10	1	0.807830	0.8257653
pattern_5	5	-2	-8	1	0.817653	0.8257653
pattern_5	5	-2	-5	1	0.889099	0.8257653
pattern_5	5	-2	-2	1	0.936263	0.8257653
pattern_5	5	-2	1	1	0.943633	0.8257653
pattern_5	5	-2	4	1	0.908423	0.8257653
pattern_5	5	-2	7	1	0.843044	0.8257653
pattern_5	5	-2	10	1	0.765000	0.8257653
pattern_5	5	-1	-9	1	0.763842	0.8257653
pattern_5	5	-1	-6	1	0.831115	0.8257653
pattern_5	5	-1	-3	1	0.881148	0.8257653
pattern_5	5	-1	0	1	0.899947	0.8257653
pattern_5	5	-1	3	1	0.881148	0.8257653
pattern_5	5	-1	6	1	0.831115	0.8257653
pattern_5	5	-1	9	1	0.763842	0.8257653
pattern_5	5	0	-4	1	0.799474	0.8257653
pattern_5	5	0	2	1	0.818255	0.8257653
pattern_5	6	-3	0	1	0.793679	0.8257653
pattern_5	6	-3	3	1	0.780694	0.8257653
pattern_5	6	-2	-1	1	0.777981	0.8257653
pattern_5	6	-2	2	1	0.773835	0.8257653
pattern_5	1	1	1	2	3.136551	0.8257653
pattern_5	2	2	0	2	1.920737	0.8257653
pattern_5	2	2	2	2	1.568276	0.8257653
pattern_5	3	1	1	2	1.638010	0.8257653
pattern_5	3	3	1	2	1.246339	0.8257653
pattern_5	3	3	3	2	1.045517	0.8257653
pattern_5	4	0	0	2	1.358167	0.8257653
pattern_5	4	2	2	2	1.108938	0.8257653
pattern_5	4	4	0	2	0.960369	0.8257653
pattern_5	4	4	2	2	0.905444	0.8257653
pattern_5	4	4	4	2	0.784138	0.8257653
pattern_5	5	1	1	2	1.045517	0.8257653
pattern_5	5	3	1	2	0.918288	0.8257653
pattern_5	5	3	3	2	0.828474	0.8257653
pattern_5	6	2	0	2	0.858980	0.8257653
pattern_5	6	2	2	2	0.819005	0.8257653
pattern_6	0	0	6	1	2.167144	0.8257653
pattern_6	0	0	12	1	1.083572	0.8257653
pattern_6	1	0	-14	1	0.906088	0.8257653
